src,dst,ko_economises,status
images\action-cam6.jpg,images\action-cam6.webp,-3,OK (9k -> 11k)
images\alpes-festival-aventure.jpg,images\alpes-festival-aventure.webp,25,OK (109k -> 83k)
images\articles.jpg,images\articles.webp,92,OK (177k -> 85k)
images\bandeau-norvege.jpg,images\bandeau-norvege.webp,1057,OK (1303k -> 245k)
images\bandeau-road-trip.jpg,images\bandeau-road-trip.webp,297,OK (1294k -> 997k)
images\bandeau-roadtrip.jpg,images\bandeau-roadtrip.webp,612,OK (873k -> 260k)
images\cap-nord-moto.jpg,images\cap-nord-moto.webp,373,OK (952k -> 579k)
images\djair3.jpg,images\djair3.webp,24,OK (54k -> 30k)
images\dolomites.jpg,images\dolomites.webp,11,OK (161k -> 149k)
images\ecran-moto.jpg,images\ecran-moto.webp,39,OK (98k -> 59k)
images\europe-asie.jpg,images\europe-asie.webp,583,OK (871k -> 288k)
images\gopro13.jpg,images\gopro13.webp,94,OK (237k -> 142k)
images\header-mutant.jpg,images\header-mutant.webp,178,OK (253k -> 75k)
images\lesalpes.pg.jpg,images\lesalpes.pg.webp,32,OK (261k -> 228k)
images\les_alpes.jpg,images\les_alpes.webp,888,OK (1450k -> 562k)
images\mini4pro.jpg,images\mini4pro.webp,50,OK (103k -> 52k)
images\photo-yves.jpg,images\photo-yves.webp,135,OK (194k -> 59k)
images\Tour-d-espagne-2023.jpg,images\Tour-d-espagne-2023.webp,4,OK (170k -> 165k)
images\backup_originaux\alpes-festival-aventure.jpg,images\backup_originaux\alpes-festival-aventure.webp,602,OK (826k -> 223k)
images\backup_originaux\dolomites.jpg,images\backup_originaux\dolomites.webp,660,OK (999k -> 339k)
images\backup_originaux\Tour-d-espagne-2023.jpg,images\backup_originaux\Tour-d-espagne-2023.webp,746,OK (1198k -> 451k)
images\carpuride\terrain-01.jpg,images\carpuride\terrain-01.webp,0,skip (.webp deja present)
images\carpuride\terrain-02.jpg,images\carpuride\terrain-02.webp,0,skip (.webp deja present)
images\roadtrips\road-trip-cap-nord-2025\pexels-pixabay-39391.jpg,images\roadtrips\road-trip-cap-nord-2025\pexels-pixabay-39391.webp,-348,OK (2140k -> 2488k)
images\roadtrips\road-trip-moto-dolomite-et-slovenie-2026\1586.jpg,images\roadtrips\road-trip-moto-dolomite-et-slovenie-2026\1586.webp,1,OK (93k -> 92k)
images\roadtrips\road-trip-moto-dolomites-et-svlovenie-2026\1586.jpg,images\roadtrips\road-trip-moto-dolomites-et-svlovenie-2026\1586.webp,1,OK (93k -> 92k)
images\roadtrips\road-trip-moto-dolomites-et-svlovenie-2026\hero.jpg,images\roadtrips\road-trip-moto-dolomites-et-svlovenie-2026\hero.webp,1,OK (93k -> 92k)
images\roadtrips\road-trip-moto-test-2026\1586.jpg,images\roadtrips\road-trip-moto-test-2026\1586.webp,1,OK (93k -> 92k)
images\roadtrips\road-trip-moto-test-2026-3\1586.jpg,images\roadtrips\road-trip-moto-test-2026-3\1586.webp,1,OK (93k -> 92k)
images\roadtrips\road-trip-moto-teste-publication\1586.jpg,images\roadtrips\road-trip-moto-teste-publication\1586.webp,1,OK (93k -> 92k)
images\bagagerie-casque.png,images\bagagerie-casque.webp,2072,OK (2173k -> 101k)
images\bandeau-aoocci.png,images\bandeau-aoocci.webp,1976,OK (2124k -> 147k)
images\bandeau-gps-aoocci-carpuride.png,images\bandeau-gps-aoocci-carpuride.webp,2094,OK (2209k -> 114k)
images\bandeau-pneus.png,images\bandeau-pneus.webp,2537,OK (2760k -> 222k)
images\code-promo.png,images\code-promo.webp,2236,OK (2389k -> 152k)
images\favicon-32.png,images\favicon-32.webp,2,OK (3k -> 1k)
images\favicon.png,images\favicon.webp,942,OK (1009k -> 66k)
images\gps.png,images\gps.webp,2271,OK (2450k -> 178k)
images\Intercom-sena-futuriste.png,images\Intercom-sena-futuriste.webp,1925,OK (2016k -> 91k)
images\photo-video.png,images\photo-video.webp,1645,OK (1708k -> 63k)
images\pneu.png,images\pneu.webp,2436,OK (2719k -> 282k)
images\securite-moto.png,images\securite-moto.webp,2166,OK (2317k -> 151k)
images\test-moto.png,images\test-moto.webp,2042,OK (2202k -> 159k)
images\xplore_x1-1.png,images\xplore_x1-1.webp,377,OK (435k -> 57k)
images\xplore_x1-2.png,images\xplore_x1-2.webp,1256,OK (1380k -> 123k)
images\roadtrips\road-trip-cap-nord-2025\téléchargement.png,images\roadtrips\road-trip-cap-nord-2025\téléchargement.webp,-1,OK (1k -> 2k)
images\roadtrips\road-trip-moto-dolomite-et-slovenie-2026\QR Code.png,images\roadtrips\road-trip-moto-dolomite-et-slovenie-2026\QR Code.webp,-1,OK (1k -> 2k)
images\roadtrips\road-trip-moto-dolomites-et-svlovenie-2026\QR Code.png,images\roadtrips\road-trip-moto-dolomites-et-svlovenie-2026\QR Code.webp,-1,OK (1k -> 2k)
